date,samples_total,samples_new,tests_new,cases_total,isolation,discharged_total,active_cases,deaths_total,oxygen_support_active_patients,critical_care_active_patients,ventilator_support_active_patients,healthcare_first_vaccination_today,healthcare_first_vaccination_total,frontline_first_vaccination_today,frontline_first_vaccination_total,healthcare_second_vaccination_today,healthcare_second_vaccination_total,frontline_second_vaccination_today,frontline_second_vaccination_total,above_45_first_vaccination_today,above_45_first_vaccination_total,above_45_second_vaccination_today,above_45_second_vaccinattion_total,eighteen_44_first_vaccination_today,eighteen_44_first_vaccination_total,eighteen_44_second_vaccination_today,eighteen_44_second_vaccination_total,first_vaccination_today,second_vaccination_today,total_vaccination_today
2021-03-18,5493673,32784,31821,,,184848,14366,6204,274,,21,6703,227419,6703,227419,3068,78439,3068,78439,,,,,,,,,,,
2021-03-17,5460889,33792,33894,,,183557,13320,6172,283,,27,4942,220716,4942,220716,2419,75371,2419,75371,,,,,,,,,,,
2021-03-16,5427097,33272,20164,,,182283,12616,6137,272,,26,5368,215774,5368,215774,3144,72952,3144,72952,,,,,,,,,,,
2021-03-15,5393825,15294,27258,,,181532,11942,6099,258,,26,4481,210406,4481,210406,3330,69808,3330,69808,,,,,,,,,,,
2021-03-14,5378531,30959,32330,,,180133,11550,6072,229,,29,450,205925,450,205925,361,66478,361,66478,,,,,,,,,,,
2021-03-13,5347572,33640,24523,,,179295,10916,6052,212,,24,3349,205475,3349,205475,2542,66117,2542,66117,,,,,,,,,,,
2021-03-12,5313932,19644,36412,,,178271,10452,6030,222,,23,6178,202126,6178,202126,3778,63575,3778,63575,,,,,,,,,,,
2021-03-11,5294288,30388,30475,,,177280,10069,5996,182,,20,1386,195948,1386,195948,793,59797,793,59797,,,,,,,,,,,
2021-03-10,5263900,26997,29354,,,176660,9402,5978,176,,20,3946,194562,3946,194562,3120,59004,3120,59004,,,,,,,,,,,
2021-03-09,5236903,31883,21897,,,176164,8522,5961,157,,25,4591,190616,4591,190616,4102,55884,4102,55884,,,,,,,,,,,
2021-03-08,5205020,14492,28326,,,175659,8020,5941,127,,18,4035,186025,4035,186025,2290,51782,2290,51782,,,,,,,,,,,
2021-03-07,5190528,30845,31877,,,174967,7497,5927,143,,14,447,181990,447,181990,106,49492,106,49492,,,,,,,,,,,
2021-03-06,5159683,32721,34388,,,174274,7164,5910,131,,20,3172,181543,3172,181543,2386,49386,2386,49386,,,,,,,,,,,
2021-03-05,5126962,29160,29619,,,173630,6661,5898,110,,15,4713,178371,4713,178371,2694,47000,2694,47000,,,,,,,,,,,
2021-03-04,5097802,28421,28115,,,173230,6264,5887,94,,14,5211,173658,5211,173658,2498,44306,2498,44306,,,,,,,,,,,
2021-03-03,5069381,27548,26645,,,172845,5593,5872,99,,14,3741,168447,3741,168447,1655,41808,1655,41808,,,,,,,,,,,
2021-03-02,5041833,28716,19968,,,172480,5198,5860,113,,9,4725,164706,4725,164706,1581,40153,1581,40153,,,,,,,,,,,
2021-03-01,5013117,13727,16249,,,172106,4853,5850,106,,9,5915,159981,5915,159981,2380,38632,,,,,,,,,,,,,
2021-02-28,4999390,16617,27474,,,171712,4632,5832,81,,9,0,154066,0,154066,0,36252,,,,,,,,,,,,,
2021-02-27,4982773,29023,32520,,,171336,4436,5825,79,,14,0,154066,0,154066,0,36252,,,,,,,,,,,,,
2021-02-25,4926621,23997,24051,,,170713,3870,5799,82,,11,8892,148066,8892,148066,5258,32644,,,,,,,,,,,,,
2021-02-24,4902624,20460,22083,,,170435,3598,5786,82,,9,5587,139174,5587,139174,3521,27386,,,,,,,,,,,,,
2021-02-23,4882164,21729,13174,,,170187,3295,5779,77,,10,6283,133587,6283,133587,3462,23865,,,,,,,,,,,,,
2021-02-22,4860435,10088,15529,,,169911,3167,5769,77,,10,4908,127304,4908,127304,6136,20403,,,,,,,,,,,,,
2021-02-21,4850347,17129,19028,,,169686,3019,5754,69,,11,98,122396,98,122396,410,14267,,,,,,,,,,,,,
2021-02-20,4833218,19998,19619,,,169480,2883,5748,83,,10,2500,122298,2500,122298,4532,13857,,,,,,,,,,,,,
2021-02-19,4813220,18333,21127,,,169216,2803,5740,81,,8,,,,,3752,9325,,,,,,,,,,,,,
2021-02-17,4774987,19176,18978,,,168833,2546,5722,70,,8,,,,,1039,3049,,,,,,,,,,,,,
2021-02-16,4755811,20024,12826,,,168654,2401,5712,81,,6,,,,,1004,2010,,,,,,,,,,,,,
2021-02-15,4735787,8816,15321,,,168456,2357,5707,82,,6,,,,,949,1006,,,,,,,,,,,,,
2021-02-14,4726971,17852,17791,,,168239,2360,5697,96,,6,,,,,0,57,,,,,,,,,,,,,
2021-02-13,4709119,19629,20319,,,168035,2335,5694,93,,5,,,,,57,57,,,,,,,,,,,,,
2021-02-12,4689490,20323,20098,,,167814,2300,5690,90,,5,,,,,,,,,,,,,,,,,,,
2021-02-11,4669167,22359,22342,,,167652,2224,5682,88,,4,,,,,,,,,,,,,,,,,,,
2021-02-10,4646808,21141,21490,,,167465,2112,5675,87,,4,,,,,,,,,,,,,,,,,,,
2021-02-09,4625667,21758,14579,,,167285,2077,5661,85,,7,,,,,,,,,,,,,,,,,,,
2021-02-08,4603909,9802,13665,,,167073,2112,5653,89,,7,,,,,,,,,,,,,,,,,,,
2021-02-07,4594107,17149,20749,,,166828,2176,5642,97,,5,,,,,,,,,,,,,,,,,,,
2021-02-06,4576958,20288,20450,,,166643,2156,5640,81,,7,,,,,,,,,,,,,,,,,,,
2021-02-05,4556670,18549,18279,,,166477,2145,5634,92,,10,,,,,,,,,,,,,,,,,,,
2021-02-04,4538121,17332,17029,,,166263,2159,5635,72,,9,,,,,,,,,,,,,,,,,,,
2021-02-03,4520789,14725,14785,,,166103,2130,5628,74,,12,,,,,,,,,,,,,,,,,,,
2021-02-02,4506064,15466,9580,,,165924,2122,5628,73,,10,,,,,,,,,,,,,,,,,,,
2021-02-01,4490598,10882,15176,,,165753,2101,5616,77,,9,,,,,,,,,,,,,,,,,,,
2021-01-31,4479716,16279,18068,,,165533,2128,5615,79,,8,,,,,,,,,,,,,,,,,,,
2021-01-30,4463437,19180,18480,,,165291,2184,5609,86,,6,,,,,,,,,,,,,,,,,,,
2021-01-29,4444257,19019,19186,,,165145,2114,5601,85,,12,,,,,,,,,,,,,,,,,,,
2021-01-28,4425238,20349,11830,,,164937,2079,5590,77,,12,,,,,,,,,,,,,,,,,,,
2021-01-27,4404889,9005,17712,,,164745,2080,5581,71,,8,,,,,,,,,,,,,,,,,,,
2021-01-26,4395884,19117,12864,,,164541,2106,5571,71,,8,,,,,,,,,,,,,,,,,,,
2021-01-24,4366353,17712,,,,164119,2256,5555,63,,10,,,,,,,,,,,,,,,,,,,
2021-01-23,4348641,20364,17568,,,163887,2293,5553,77,,11,,,,,,,,,,,,,,,,,,,
2021-01-22,4328277,20663,15771,,,163655,2324,5543,78,,11,,,,,,,,,,,,,,,,,,,
2021-01-21,4307614,14850,19862,,,163438,2343,5535,81,,9,,,,,,,,,,,,,,,,,,,
2021-01-20,4292764,20950,,,,163211,2405,5520,76,,9,,,,,,,,,,,,,,,,,,,
2021-01-19,4271814,22713,,,,163009,2412,5516,74,,12,,,,,,,,,,,,,,,,,,,
2021-01-18,4249101,10673,,,,162762,2458,5509,57,,11,,,,,,,,,,,,,,,,,,,
2021-01-17,4238428,20298,,,,162484,2617,5504,52,,10,,,,,,,,,,,,,,,,,,,
2021-01-14,4177959,19104,,,,161710,2767,5473,99,,9,,,,,,,,,,,,,,,,,,,
2021-01-13,4158855,24581,,,,161457,2817,5463,94,,9,,,,,,,,,,,,,,,,,,,
2021-01-12,4134274,23166,,,,161235,2788,5456,105,,8,,,,,,,,,,,,,,,,,,,
2021-01-11,4111108,9874,,,,160920,2858,5447,109,,8,,,,,,,,,,,,,,,,,,,
2021-01-10,4101234,20447,,,,160655,2933,5445,104,,8,,,,,,,,,,,,,,,,,,,
2021-01-09,4080787,21973,,,,160343,2952,5439,96,,13,,,,,,,,,,,,,,,,,,,
2021-01-08,4058814,24822,,,,160042,3007,5437,102,,10,,,,,,,,,,,,,,,,,,,
2021-01-06,4011514,22809,,,,159500,2998,5412,111,,6,,,,,,,,,,,,,,,,,,,
2021-01-05,3988705,22634,,,,159265,2983,5404,84,,3,,,,,,,,,,,,,,,,,,,
2021-01-04,3966071,10688,,,,158972,3069,5400,73,,5,,,,,,,,,,,,,,,,,,,
2021-01-03,3955383,17642,,,,158482,3361,5376,80,,9,,,,,,,,,,,,,,,,,,,
2020-12-31,3900473,21874,,,,157496,3685,5341,73,,16,,,,,,,,,,,,,,,,,,,
2020-12-29,3856388,23977,,,,156719,3837,5322,78,,17,,,,,,,,,,,,,,,,,,,
2020-12-28,3832411,11189,,,,156342,4014,5312,77,,15,,,,,,,,,,,,,,,,,,,
2020-12-27,3821222,19142,,,,155892,4214,5299,73,,15,,,,,,,,,,,,,,,,,,,
2020-12-26,3802080,15195,,,,155409,4436,5281,71,,15,,,,,,,,,,,,,,,,,,,
2020-12-25,3786885,24765,,,,154845,4707,5269,82,,13,,,,,,,,,,,,,,,,,,,
2020-12-24,3762120,25504,,,,154433,4812,5260,96,,12,,,,,,,,,,,,,,,,,,,
2020-12-22,3712608,25494,,,,153382,5053,5230,133,,8,,,,,,,,,,,,,,,,,,,
2020-12-21,3687114,11621,,,,152758,5408,5212,113,,15,,,,,,,,,,,,,,,,,,,
2020-12-20,3675493,16377,,,,152223,5618,5201,97,,13,,,,,,,,,,,,,,,,,,,
2020-12-19,3659116,24490,,,,151679,5837,5189,93,,12,,,,,,,,,,,,,,,,,,,
2020-12-18,3634626,25052,,,,151119,5981,5170,100,,11,,,,,,,,,,,,,,,,,,,
2020-12-17,3609574,25913,,,,150636,6045,5150,116,,15,,,,,,,,,,,,,,,,,,,
2020-12-16,3583661,25355,,,,150007,6241,5135,112,,14,,,,,,,,,,,,,,,,,,,
2020-12-15,3558306,24450,,,,149434,6502,5117,127,,19,,,,,,,,,,,,,,,,,,,
2020-12-14,3533856,11795,,,,148680,6881,5098,140,,19,,,,,,,,,,,,,,,,,,,
2020-12-13,3522061,27668,,,,148047,7076,5077,129,,17,,,,,,,,,,,,,,,,,,,
2020-12-12,3494393,25764,,,,147431,7091,5057,127,,19,,,,,,,,,,,,,,,,,,,
2020-12-11,3468629,26243,,,,146777,7286,5036,133,,14,,,,,,,,,,,,,,,,,,,
2020-12-10,3442386,18754,,,,146126,7423,5007,136,,20,,,,,,,,,,,,,,,,,,,
2020-12-09,3423632,27903,,,,145623,7325,4980,155,,22,,,,,,,,,,,,,,,,,,,
2020-12-08,3395729,30610,,,,145093,7274,4964,163,,14,,,,,,,,,,,,,,,,,,,
2020-12-07,3365119,12448,,,,144301,7604,4934,168,,16,,,,,,,,,,,,,,,,,,,
2020-12-06,3352671,28050,,,,143415,7896,4915,166,,12,,,,,,,,,,,,,,,,,,,
2020-12-05,3324621,29480,,,,142792,7727,4905,164,,13,,,,,,,,,,,,,,,,,,,
2020-12-04,3295141,29636,,,,142121,7785,4882,163,,9,,,,,,,,,,,,,,,,,,,
2020-12-03,3265505,27647,,,,141478,7724,4862,163,,8,,,,,,,,,,,,,,,,,,,
2020-12-02,3237858,29649,,,,140772,7694,4842,150,,12,,,,,,,,,,,,,,,,,,,
2020-12-01,3208209,15043,,,,140254,7634,4821,147,,13,,,,,,,,,,,,,,,,,,,
2020-11-30,3193166,11393,,,,139442,7842,4807,150,,14,,,,,,,,,,,,,,,,,,,
2020-11-29,3181773,25006,,,,138870,7888,4780,157,,16,,,,,,,,,,,,,,,,,,,
2020-11-28,3156767,28056,,,,138206,7834,4765,164,,15,,,,,,,,,,,,,,,,,,,
2020-11-27,3128711,25705,,,,137630,7719,4737,148,,19,,,,,,,,,,,,,,,,,,,
2020-11-26,3103006,27141,,,,137089,7479,4710,150,,14,,,,,,,,,,,,,,,,,,,
2020-11-25,3075865,24323,,,,136622,7129,4684,137,,13,,,,,,,,,,,,,,,,,,,
2020-11-24,3051542,26621,,,,136178,6834,4653,139,,11,,,,,,,,,,,,,,,,,,,
2020-11-23,3024921,9222,,,,135739,6687,4631,137,,11,,,,,,,,,,,,,,,,,,,
2020-11-22,3015699,20455,,,,135008,6724,4614,136,,13,,,,,,,,,,,,,,,,,,,
2020-11-21,2995244,24562,,,,134511,6561,4595,137,,13,,,,,,,,,,,,,,,,,,,
2020-11-20,2970682,24300,,,,133919,6504,4572,141,,12,,,,,,,,,,,,,,,,,,,
2020-11-19,2946382,,,,,133427,6194,4556,139,,13,,,,,,,,,,,,,,,,,,,
2020-11-18,2922722,21209,,,,132917,5937,4541,144,,17,,,,,,,,,,,,,,,,,,,
2020-11-17,2901513,,,,,132266,5821,4510,152,,20,,,,,,,,,,,,,,,,,,,
2020-11-16,2878477,,,,,132001,5601,4480,156,,18,,,,,,,,,,,,,,,,,,,
2020-11-13,2843699,21031,,,,130406,5771,4428,153,,17,,,,,,,,,,,,,,,,,,,
2020-11-12,2822668,21363,,,,130018,5439,4412,134,,17,,,,,,,,,,,,,,,,,,,
2020-11-11,2801305,21333,,,,129549,5246,4389,156,,15,,,,,,,,,,,,,,,,,,,
2020-11-10,2779972,23165,,,,129089,5038,4358,134,,15,,,,,,,,,,,,,,,,,,,
2020-11-09,2756807,9701,,,,128727,4934,4338,127,,14,,,,,,,,,,,,,,,,,,,
2020-11-08,2747106,20708,,,,128217,4910,4318,126,,9,,,,,,,,,,,,,,,,,,,
2020-11-07,2726398,19657,,,,127821,4827,4310,122,,12,,,,,,,,,,,,,,,,,,,
2020-11-06,2706741,19312,,,,127304,4882,4295,118,,15,,,,,,,,,,,,,,,,,,,
2020-11-05,2687429,17803,,,,126932,4621,4281,125,,14,,,,,,,,,,,,,,,,,,,
2020-11-04,2669626,18817,,,,126583,4471,4259,120,,13,,,,,,,,,,,,,,,,,,,
2020-11-03,2650809,20427,,,,126315,4226,4245,117,,15,,,,,,,,,,,,,,,,,,,
2020-11-02,2630382,9596,,,,125961,4183,4227,116,,15,,,,,,,,,,,,,,,,,,,
2020-11-01,2620786,16578,,,,125566,4195,4214,99,,16,,,,,,,,,,,,,,,,,,,
2020-10-31,2604208,21421,,,,125198,4257,4203,97,,18,,,,,,,,,,,,,,,,,,,
2020-10-30,2582787,21682,,,,124870,4101,4187,95,,19,,,,,,,,,,,,,,,,,,,
2020-10-29,2561105,22495,,,,124293,4266,4168,102,,21,,,,,,,,,,,,,,,,,,,
2020-10-28,2538610,22643,,,,123866,4239,4158,102,,20,,,,,,,,,,,,,,,,,,,
2020-10-27,2515967,22219,,,,123510,4089,4138,105,,19,,,,,,,,,,,,,,,,,,,
2020-10-25,2478710,21136,,,,122721,4217,4117,105,,20,,,,,,,,,,,,,,,,,,,
2020-10-24,2457574,24441,,,,122256,4277,4107,116,,21,,,,,,,,,,,,,,,,,,,
2020-10-23,2433133,23447,,,,121735,4327,4095,110,,27,,,,,,,,,,,,,,,,,,,
2020-10-22,2409686,23840,,,,121155,4466,4072,103,,47,,,,,,,,,,,,,,,,,,,
2020-10-21,2385846,26004,,,,120220,4808,4060,121,,31,,,,,,,,,,,,,,,,,,,
2020-10-20,2359842,20444,,,,119658,4895,4037,115,,27,,,,,,,,,,,,,,,,,,,
2020-10-19,2339398,18314,,,,118767,5307,4029,117,,27,,,,,,,,,,,,,,,,,,,
2020-10-18,2321084,20415,,,,117883,5735,4012,145,,23,,,,,,,,,,,,,,,,,,,
2020-10-17,2300669,25897,,,,116925,6230,3999,140,,22,,,,,,,,,,,,,,,,,,,
2020-10-16,2274772,27341,,,,116165,6592,3980,147,,21,,,,,,,,,,,,,,,,,,,
2020-10-15,2247431,28517,,,,115186,7090,3954,167,,32,,,,,,,,,,,,,,,,,,,
2020-10-14,2218914,29447,,,,114075,7760,3925,176,,32,,,,,,,,,,,,,,,,,,,
2020-10-13,2189467,21736,,,,113105,8212,3894,186,,38,,,,,,,,,,,,,,,,,,,
2020-10-12,2167731,22362,,,,112417,8258,3860,202,,32,,,,,,,,,,,,,,,,,,,
2020-10-11,2145369,27656,,,,110865,9275,3833,180,,35,,,,,,,,,,,,,,,,,,,
2020-10-10,2117713,33159,,,,109767,9752,3798,194,,45,,,,,,,,,,,,,,,,,,,
2020-10-09,2084554,30679,,,,108533,10153,3773,208,,40,,,,,,,,,,,,,,,,,,,
2020-10-08,2053875,27940,,,,107200,10775,3741,228,,42,,,,,,,,,,,,,,,,,,,
2020-10-07,2025935,29216,,,,105585,11563,3712,253,,42,,,,,,,,,,,,,,,,,,,
2020-10-06,1996719,22761,,,,104355,11982,3679,274,,38,,,,,,,,,,,,,,,,,,,
2020-10-05,1973958,22335,,,,102648,12897,3641,291,,47,,,,,,,,,,,,,,,,,,,
2020-10-04,1951623,23334,,,,100977,13577,3603,315,,52,,,,,,,,,,,,,,,,,,,
2020-10-03,1928289,25313,,,,99468,14289,3562,338,,60,,,,,,,,,,,,,,,,,,,
2020-10-01,1872887,30932,,,,95937,15763,3451,332,,54,,,,,,,,,,,,,,,,,,,
2020-09-30,1841955,31869,,,,93666,16814,3406,372,,49,,,,,,,,,,,,,,,,,,,
2020-09-29,1810086,23459,,,,92277,16824,3359,396,,65,,,,,,,,,,,,,,,,,,,
2020-09-28,1786627,23129,,,,90345,17746,3284,331,,68,,,,,,,,,,,,,,,,,,,
2020-09-27,1763498,23315,,,,88312,18556,3238,451,,63,,,,,,,,,,,,,,,,,,,
2020-09-26,1740183,26531,,,,86013,19483,3188,422,,68,,,,,,,,,,,,,,,,,,,
2020-09-25,1713652,30929,,,,84025,19937,3134,435,,73,,,,,,,,,,,,,,,,,,,
2020-09-24,1682723,28215,,,,81475,20679,3066,443,,76,,,,,,,,,,,,,,,,,,,
2020-09-23,1654508,26687,,,,79244,21230,2990,458,,72,,,,,,,,,,,,,,,,,,,
2020-09-22,1627821,28687,,,,77127,21288,2926,565,,65,,,,,,,,,,,,,,,,,,,
2020-09-21,1599134,20021,,,,75409,21661,2860,475,,59,,,,,,,,,,,,,,,,,,,
2020-09-20,1579113,26720,,,,72598,22278,2813,490,,67,,,,,,,,,,,,,,,,,,,
2020-09-19,1552393,28381,,,,70373,22399,2757,509,,71,,,,,,,,,,,,,,,,,,,
2020-09-18,1524012,27672,,,,68463,21662,2708,501,,76,,,,,,,,,,,,,,,,,,,
2020-09-17,1496340,29039,,,,65818,21568,2646,489,,88,,,,,,,,,,,,,,,,,,,
2020-09-16,1467301,27718,,,,63570,21022,2592,451,,82,,,,,,,,,,,,,,,,,,,
2020-09-15,1439583,28824,,,,60814,21154,2514,481,,88,,,,,,,,,,,,,,,,,,,
2020-09-14,1410759,19097,,,,58999,20690,2424,544,,85,,,,,,,,,,,,,,,,,,,
2020-09-13,1391662,26722,,,,57536,19787,2356,501,,91,,,,,,,,,,,,,,,,,,,
2020-09-12,1364940,32376,,,,55385,19384,2288,521,,82,,,,,,,,,,,,,,,,,,,
2020-09-11,1332564,33595,,,,53308,19096,2212,529,,79,,,,,,,,,,,,,,,,,,,
2020-09-10,1298969,29917,,,,51906,18088,2149,544,,79,,,,,,,,,,,,,,,,,,,
2020-09-09,1269052,27932,,,,50558,17065,2061,573,,74,,,,,,,,,,,,,,,,,,,
2020-09-07,1212432,19172,,,,47020,16640,1923,534,,75,,,,,,,,,,,,,,,,,,,
2020-09-05,1168106,24098,,,,43849,15870,1808,507,,85,,,,,,,,,,,,,,,,,,,
2020-09-04,1144008,22992,,,,42543,15731,1739,501,,80,,,,,,,,,,,,,,,,,,,
2020-09-03,1121016,19104,,,,41271,15554,1690,470,,68,,,,,,,,,,,,,,,,,,,
2020-09-02,1101912,20241,,,,39742,15629,1618,440,,71,,,,,,,,,,,,,,,,,,,
2020-09-01,1081671,19004,,,,38147,15849,1512,464,,70,,,,,,,,,,,,,,,,,,,
2020-08-31,1062667,16535,,,,37027,15512,1453,474,,77,,,,,,,,,,,,,,,,,,,
2020-08-30,1046132,19667,,,,35747,15375,1404,474,,77,,,,,,,,,,,,,,,,,,,
2020-08-29,1026465,18613,,,,34091,15409,1348,475,,69,,,,,,,,,,,,,,,,,,,
2020-08-28,1007852,19733,,,,33008,15063,1307,491,,68,,,,,,,,,,,,,,,,,,,
2020-08-27,988119,24068,,,,30972,15608,1256,425,,49,,,,,,,,,,,,,,,,,,,
2020-08-26,964051,22112,,,,30231,14640,1219,423,,60,,,,,,,,,,,,,,,,,,,
2020-08-25,941939,22325,,,,29145,14254,1178,499,,55,,,,,,,,,,,,,,,,,,,
2020-08-24,919614,12454,,,,28357,13798,1129,414,,51,,,,,,,,,,,,,,,,,,,
2020-08-23,907160,21210,,,,26528,14165,1086,374,,46,,,,,,,,,,,,,,,,,,,
2020-08-22,885950,22110,,,,24302,15305,1036,336,,49,,,,,,,,,,,,,,,,,,,
2020-08-21,863840,23893,,,,23893,14443,991,418,,42,,,,,,,,,,,,,,,,,,,
2020-08-20,839947,20290,,,,23037,13830,957,345,,39,,,,,,,,,,,,,,,,,,,
2020-08-19,819657,17667,,,,22703,12460,920,362,,36,,,,,,,,,,,,,,,,,,,
2020-08-18,801990,,,,,21762,11740,898,336,,37,,,,,,,,,,,,,,,,,,,
2020-08-17,782463,,,,,20180,11653,862,345,,38,,,,,,,,,,,,,,,,,,,
2020-08-16,770873,,,,,19431,10963,812,217,,35,,,,,,,,,,,,,,,,,,,
2020-08-15,759990,,,,,18863,10407,771,212,,40,,,,,,,,,,,,,,,,,,,
2020-08-14,741834,,,,,18328,9954,731,160,,30,,,,,,,,,,,,,,,,,,,
2020-08-13,723357,,,,,17839,9391,706,142,,25,,,,,,,,,,,,,,,,,,,
2020-08-12,711260,,,,,17212,9022,675,142,,18,,,,,,,,,,,,,,,,,,,
2020-08-11,697327,,,,,16790,8463,636,139,,21,,,,,,,,,,,,,,,,,,,
2020-08-10,681321,,,,,15735,8550,604,129,,22,,,,,,,,,,,,,,,,,,,
2020-08-09,672761,,,,,15319,7998,586,131,,22,,,,,,,,,,,,,,,,,,,
2020-08-08,659284,,,,,14860,7506,562,123,,26,,,,,,,,,,,,,,,,,,,
2020-08-07,646439,,,,,14040,7351,539,117,,29,,,,,,,,,,,,,,,,,,,
2020-08-06,634271,,,,,13659,6715,517,150,,26,,,,,,,,,,,,,,,,,,,
2020-08-05,622127,,,,,12943,6422,491,148,,22,,,,,,,,,,,,,,,,,,,
2020-08-04,611609,,,,,12491,6062,462,149,,25,,,,,,,,,,,,,,,,,,,
2020-08-03,603912,,,,,11882,6203,442,148,,18,,,,,,,,,,,,,,,,,,,
2020-08-02,599651,,,,,11466,5964,423,146,,11,,,,,,,,,,,,,,,,,,,
2020-08-01,592392,,,,,11075,5583,405,145,,13,,,,,,,,,,,,,,,,,,,
2020-07-31,582573,,,,,10734,4999,386,135,,10,,,,,,,,,,,,,,,,,,,
2020-07-30,572067,,,,,10509,4577,370,135,,18,,,,,,,,,,,,,,,,,,,
2020-07-26,531336,,,,,8810,4102,306,105,,20,,,,,,,,,,,,,,,,,,,
2020-07-25,521906,,,,,8297,4096,291,86,,16,,,,,,,,,,,,,,,,,,,
2020-07-24,509267,,,,,8096,3838,282,83,,17,,,,,,,,,,,,,,,,,,,
2020-07-23,500562,,,,,7741,3721,277,70,,13,,,,,,,,,,,,,,,,,,,
2020-07-22,489836,,,,,7641,3391,269,74,,12,,,,,,,,,,,,,,,,,,,
2020-07-21,478421,,,,,7389,3237,263,61,,10,,,,,,,,,,,,,,,,,,,
2020-07-20,466057,,,,,7118,3130,262,58,,10,,,,,,,,,,,,,,,,,,,
2020-07-19,459900,,,,,6535,3311,254,63,,10,,,,,,,,,,,,,,,,,,,
2020-07-18,450732,,,,,6454,3092,246,63,,9,,,,,,,,,,,,,,,,,,,
2020-07-17,438793,,,,,6373,2830,239,61,,7,,,,,,,,,,,,,,,,,,,
2020-07-16,429832,,,,,6277,2587,230,58,,7,,,,,,,,,,,,,,,,,,,
2020-07-15,421593,,,,,5867,2711,221,46,,9,,,,,,,,,,,,,,,,,,,
2020-07-14,409643,,,,,5663,2635,213,54,,11,,,,,,,,,,,,,,,,,,,
2020-07-13,400944,,,,,5586,2388,204,57,,12,,,,,,,,,,,,,,,,,,,
2020-07-12,395185,,,,,5392,2230,199,59,,9,,,,,,,,,,,,,,,,,,,
2020-07-11,388494,,,,,5040,2352,195,59,,9,,,,,,,,,,,,,,,,,,,
2020-07-10,378045,,,,,5017,2153,187,59,,9,,,,,,,,,,,,,,,,,,,
2020-07-09,369425,,,,,4945,2012,183,51,,11,,,,,,,,,,,,,,,,,,,
2020-07-08,360189,,,,,4828,1901,178,57,,6,,,,,,,,,,,,,,,,,,,
2020-07-07,352363,,,,,4554,2020,175,38,,6,,,,,,,,,,,,,,,,,,,
2020-07-06,342524,,,,,4494,1828,169,52,,6,,,,,,,,,,,,,,,,,,,
2020-07-05,337789,,,,1711,4408,,164,26,,3,,,,,,,,,,,,,,,,,,,
2020-07-04,331585,,,,1641,4306,,162,28,,3,,,,,,,,,,,,,,,,,,,
2020-07-03,324054,,,,1514,4266,,157,34,,3,,,,,,,,,,,,,,,,,,,
2020-07-02,317802,,,,1488,4144,,152,27,,2,,,,,,,,,,,,,,,,,,,
2020-07-01,308998,,,,1530,3989,,149,33,,3,,,,,,,,,,,,,,,,,,,
2020-06-29,294448,,,,1516,3764,,138,24,,5,,,,,,,,,,,,,,,,,,,
2020-06-28,289923,,,,1557,3526,,133,23,,7,,,,,,,,,,,,,,,,,,,
2020-06-27,284431,,,,1608,3320,,128,22,,7,,,,,,,,,,,,,,,,,,,
2020-06-26,276919,,,,1634,3201,,122,24,,6,,,,,,,,,,,,,,,,,,,
2020-06-25,269037,,,,1457,3192,,120,25,,5,,,,,,,,,,,,,,,,,,,
2020-06-24,260857,,,,1415,3099,,113,18,,6,,,,,,,,,,,,,,,,,,,
2020-06-22,246760,,,,1309,2825,,101,21,,5,,,,,,,,,,,,,,,,,,,
2022-01-05,16905814,23640,22794,,,587632,4434,16657,53,14,2,11,217469,43,1113833,24,182769,251,872041,12212,6844120,21352,,32638,9101226,52427,4262055,126108,126108,126108
2022-01-04,16882174,16056,15822,,,587588,2686,16653,54,15,1,6,217988,147,1155433,17,142094,294,345537,12898,6477992,23629,,33986,9246376,55415,5082335,135069,135069,135069
2022-01-03,16866118,9470,9384,,,587530,1741,16651,50,15,2,2,217982,40,1155286,28,142077,127,345243,9948,6465094,15735,,22256,9212390,40197,5026920,91404,91404,91404
2022-01-02,16856641,14134,13862,,,587492,1369,16648,33,14,1,61,1373226,61,1373226,100,487165,100,487165,3747,6455146,6245,,5116,9190134,8683,4986723,23952,23952,23952
2022-01-01,16842507,16736,16443,,,587440,1041,16645,23,8,0,3,1373165,3,1373165,128,487065,128,487065,6093,6451399,12632,,18072,9185018,31518,4978040,68446,68446,68446
