,index,date,cases_new,cases_total,recovered_new,recovered_total,deaths_new,deaths_total,cases_in_isolation,state_CFR,national_CFR,state_recovery_rate,national_recovery_rate,month,year,rise in cases,Index
210,211,16-04-2021,3840,341885,1198,309594,9,1797,20215,0.52,1.2,90.55,87.8,April2021,16,533.0,20210416
211,212,17-04-2021,4446,346331,1414,311008,12,1809,22118,0.52,1.2,89.8,87.2,April2021,17,606.0,20210417
212,213,18-04-2021,5093,351424,1555,312563,15,1824,24156,0.51,1.2,88.94,86.6,April2021,18,647.0,20210418
213,214,10-05-2021,4826,502187,7754,436619,32,2771,62797,0.55,1.1,86.94,82.3,May2021,10,-267.0,20210510
214,215,11-05-2021,4801,506988,7430,444049,32,2803,60136,0.55,1.1,87.58,82.7,May2021,11,-25.0,20210511
215,216,12-05-2021,4723,511711,5695,449744,31,2834,59133,0.55,1.1,87.89,83.0,May2021,12,-78.0,20210512
216,217,13-05-2021,4693,516404,6876,456620,33,2867,56917,0.55,1.1,88.42,83.2,May2021,13,-30.0,20210513
217,218,14-05-2021,4305,520709,6361,462981,29,2896,54832,0.55,1.1,88.91,83.4,May2021,14,-388.0,20210514
218,219,15-05-2021,4298,525007,6026,469007,32,2928,53072,0.55,1.1,89.33,83.8,May2021,15,-7.0,20210515
219,220,16-05-2021,3816,528823,5892,474899,27,2955,50969,0.55,1.1,89.8,84.2,May2021,16,-482.0,20210516
220,221,17-05-2021,3961,532784,5559,480458,30,2985,49341,0.56,1.1,90.17,84.8,May2021,17,145.0,20210517
221,222,18-05-2021,3982,536766,5186,485644,27,3012,48110,0.56,1.1,90.47,85.6,May2021,18,21.0,20210518
222,223,19-05-2021,3837,540603,4976,490620,25,3037,46946,0.56,1.1,90.75,86.2,May2021,19,-145.0,20210519
223,224,20-05-2021,3660,544263,4826,495446,23,3060,45757,0.56,1.1,91.03,86.7,May2021,20,-177.0,20210520
224,225,21-05-2021,3464,547727,4801,500247,25,3085,44395,0.56,1.1,91.33,87.2,May2021,21,-196.0,20210521
225,226,22-05-2021,3308,551035,4723,504970,21,3106,42959,0.56,1.1,91.64,87.7,May2021,22,-156.0,20210522
226,227,23-05-2021,2242,553277,4693,509663,19,3125,40489,0.56,1.1,92.11,88.3,May2021,23,-1066.0,20210523
227,228,24-05-2021,3043,556320,4693,513968,21,3146,39206,0.56,1.1,92.38,88.7,May2021,24,801.0,20210524
228,229,25-05-2021,3821,560141,4298,518266,23,3169,38706,0.56,1.1,92.52,89.2,May2021,25,778.0,20210525
229,230,26-05-2021,3762,563903,3816,522082,20,3189,38632,0.56,1.1,92.58,89.6,May2021,26,-59.0,20210526
230,231,27-05-2021,3614,567517,3961,526043,18,3207,38267,0.56,1.2,92.69,90.0,May2021,27,-148.0,20210527
231,232,28-05-2021,3527,571044,3982,530025,19,3226,37793,0.56,1.2,92.81,90.3,May2021,28,-87.0,20210528
232,233,29-05-2021,2982,574026,3837,533862,21,3247,36917,0.56,1.2,93.0,90.8,May2021,29,-545.0,20210529
233,234,30-05-2021,1801,575827,3660,537522,16,3263,35042,0.56,1.2,93.34,91.4,May2021,30,-1181.0,20210530
234,235,31-05-2021,2524,578351,3464,540986,18,3281,34084,0.56,1.2,93.53,91.6,May2021,31,723.0,20210531
235,236,01-06-2021,2493,580844,3308,544294,15,3296,33254,0.56,1.2,93.7,92.04,June2021,01,-31.0,20210601
236,237,02-06-2021,2384,583228,2242,546536,17,3313,33379,0.56,1.2,93.7,92.4,June2021,02,-109.0,20210602
237,238,03-06-2021,2261,585489,3043,549579,18,3331,32579,0.56,1.2,93.86,92.7,June2021,03,-123.0,20210603
238,239,04-06-2021,2175,587664,3821,553400,15,3346,30918,0.56,1.2,94.16,93.0,June2021,04,-86.0,20210604
239,240,05-06-2021,2070,589734,3762,557162,18,3364,29208,0.57,1.2,94.47,93.3,June2021,05,-105.0,20210605
240,241,06-06-2021,1436,591170,3614,560776,14,3378,27016,0.57,1.2,94.85,93.62,June2021,06,-634.0,20210606
241,242,07-06-2021,1933,593103,3527,564303,16,3394,25406,0.57,1.2,95.14,93.9,June2021,07,497.0,20210607
242,243,08-06-2021,1897,595000,2982,567285,15,3409,24306,0.57,1.2,95.34,94.25,June2021,08,-36.0,20210608
243,244,09-06-2021,1813,596813,1801,569086,17,3426,24301,0.57,1.2,95.35,94.5,June2021,09,-84.0,20210609
244,245,10-06-2021,1798,598611,2524,571610,14,3440,23561,0.57,1.2,95.48,94.71,June2021,10,-15.0,20210610
245,246,11-06-2021,1707,600318,2493,574103,16,3456,22759,0.57,1.2,95.63,94.88,June2021,11,-91.0,20210611
246,247,12-06-2021,1771,602089,2384,576487,13,3469,22133,0.57,1.3,95.74,95.0,June2021,12,64.0,20210612
247,248,13-06-2021,1280,603369,2261,578748,15,3484,21137,0.57,1.3,95.91,95.22,June2021,13,-491.0,20210613
248,249,14-06-2021,1511,604880,2175,580923,12,3496,20461,0.57,1.3,96.03,95.39,June2021,14,231.0,20210614
249,250,15-06-2021,1556,606436,2070,582993,14,3510,19933,0.57,1.3,96.13,95.6,June2021,15,45.0,20210615
250,251,16-06-2021,1489,607925,1436,584429,11,3521,19975,0.57,1.3,96.13,95.76,June2021,16,-67.0,20210616
251,252,17-06-2021,1492,609417,1933,586362,13,3534,19521,0.57,1.3,96.21,95.89,June2021,17,3.0,20210617
252,253,18-06-2021,1417,610834,1897,588259,12,3546,19029,0.58,1.3,96.3,95.99,June2021,18,-75.0,20210618
253,254,19-06-2021,1362,612196,1813,590072,10,3556,18568,0.58,1.3,96.38,96.12,June2021,19,-55.0,20210619
254,255,20-06-2021,1006,613202,1798,591870,11,3567,17765,0.58,1.3,96.52,96.27,June2021,20,-356.0,20210620
255,256,21-06-2021,1197,614399,1707,593577,9,3576,17246,0.58,1.3,96.61,96.32,June2021,21,191.0,20210621
256,257,22-06-2021,1175,615574,1771,595348,10,3586,16640,0.58,1.3,96.71,96.45,June2021,22,-22.0,20210622
257,258,23-06-2021,1114,616688,1280,596628,12,3598,16462,0.58,1.3,96.74,96.52,June2021,23,-61.0,20210623
258,259,24-06-2021,1088,617776,1511,598139,9,3607,16030,0.58,1.3,96.82,96.58,June2021,24,-26.0,20210624
259,260,25-06-2021,1061,618837,1556,599695,11,3618,15524,0.58,1.3,96.9,96.62,June2021,25,-27.0,20210625
260,261,26-06-2021,1028,619865,1489,601184,9,3627,15054,0.58,1.3,96.98,96.69,June2021,26,-33.0,20210626
261,262,27-06-2021,748,620613,1492,602676,8,3635,14302,0.58,1.3,97.1,96.72,June2021,27,-280.0,20210627
262,263,28-06-2021,993,621606,1417,604093,9,3644,13869,0.58,1.3,97.18,96.76,June2021,28,245.0,20210628
263,264,29-06-2021,987,622593,1362,605455,7,3651,13487,0.58,1.3,97.24,96.83,June2021,29,-6.0,20210629
264,265,30-06-2021,917,623510,1006,606461,10,3661,13388,0.58,1.3,97.26,96.88,June2021,30,-70.0,20210630
265,266,01-07-2021,869,624379,1197,607658,8,3669,13052,0.58,1.3,97.32,96.93,July2021,01,-48.0,20210701
266,267,02-07-2021,858,625237,1175,608833,9,3678,12726,0.58,1.3,97.37,96.97,July2021,02,-11.0,20210702
267,268,03-07-2021,848,626085,1114,609947,6,3684,12454,0.58,1.3,97.42,97.03,July2021,03,-10.0,20210703
268,269,04-07-2021,605,626690,1088,611035,7,3691,11964,0.58,1.3,97.5,97.07,July2021,04,-243.0,20210704
269,270,05-07-2021,808,627498,1061,612096,7,3698,11704,0.58,1.3,97.54,97.07,July2021,05,203.0,20210705
270,271,06-07-2021,784,628282,1028,613124,5,3703,11455,0.58,1.3,97.58,97.14,July2021,06,-24.0,20210706
271,272,07-07-2021,772,629054,748,613872,7,3710,11472,0.58,1.3,97.58,97.15,July2021,07,-12.0,20210707
272,273,08-07-2021,731,629785,993,614865,4,3714,11206,0.58,1.3,97.63,97.14,July2021,08,-41.0,20210708
273,274,09-07-2021,729,630514,987,615852,6,3720,10942,0.58,1.3,97.67,97.16,July2021,09,-2.0,20210709
274,275,10-07-2021,704,631218,917,616769,5,3725,10724,0.59,1.3,97.71,97.17,July2021,10,-25.0,20210710
275,276,11-07-2021,465,631683,869,617638,4,3729,10316,0.59,1.3,97.77,97.18,July2021,11,-239.0,20210711
276,277,12-07-2021,696,632379,858,618496,6,3735,10148,0.59,1.3,97.8,97.18,July2021,12,231.0,20210712
277,278,13-07-2021,767,633146,848,619344,3,3738,10064,0.59,1.3,97.82,97.24,July2021,13,71.0,20210713
278,279,14-07-2021,749,633895,605,619949,5,3743,10203,0.59,1.3,97.79,97.26,July2021,14,-18.0,20210714
279,280,15-07-2021,710,634605,808,620757,4,3747,10101,0.59,1.3,97.81,97.25,July2021,15,-39.0,20210715
280,281,16-07-2021,715,635320,784,621541,4,3751,10028,0.59,1.3,97.83,97.26,July2021,16,5.0,20210716
281,282,17-07-2021,729,636049,772,622313,5,3756,9980,0.59,1.3,97.84,97.28,July2021,17,14.0,20210717
282,283,18-07-2021,578,636627,731,623044,3,3759,9824,0.59,1.3,97.86,97.28,July2021,18,-151.0,20210718
283,284,19-07-2021,746,637373,729,623773,5,3764,9836,0.59,1.3,97.86,97.29,July2021,19,168.0,20210719
284,285,20-07-2021,657,638030,704,624477,2,3766,9787,0.59,1.3,97.87,97.34,July2021,20,-89.0,20210720
285,286,21-07-2021,691,638721,565,625042,5,3771,9908,0.59,1.3,97.85,97.33,July2021,21,34.0,20210721
286,287,22-07-2021,648,639369,696,625738,3,3774,9857,0.59,1.3,97.86,97.32,July2021,22,-43.0,20210722
287,288,23-07-2021,643,640012,767,626505,4,3778,9729,0.59,1.3,97.88,97.34,July2021,23,-5.0,20210723
288,289,24-07-2021,647,640659,749,627254,2,3780,9625,0.59,1.3,97.9,97.32,July2021,24,4.0,20210724
289,290,25-07-2021,494,641153,710,627964,4,3784,9405,0.59,1.3,97.94,97.32,July2021,25,-153.0,20210725
290,291,26-07-2021,638,641791,715,628679,3,3787,9325,0.59,1.3,97.95,97.32,July2021,26,144.0,20210726
291,292,27-07-2021,645,642436,729,629408,4,3791,9237,0.59,1.3,97.97,97.36,July2021,27,7.0,20210727
292,293,28-07-2021,657,643093,578,629986,2,3793,9314,0.58,1.3,97.96,97.37,July2021,28,12.0,20210728
293,294,29-07-2021,623,643716,746,630732,3,3796,9188,0.58,1.3,97.98,97.35,July2021,29,-34.0,20210729
294,295,30-07-2021,614,644330,657,631389,4,3800,9141,0.58,1.3,97.99,97.35,July2021,30,-9.0,20210730
295,296,01-08-2021,455,645406,648,632728,3,3805,8873,0.58,1.3,98.03,97.34,August2021,01,-159.0,20210801
296,297,02-08-2021,591,645997,643,633371,2,3807,8819,0.58,1.3,98.04,97.33,August2021,02,136.0,20210802
297,298,03-08-2021,609,646606,647,634018,4,3811,8777,0.58,1.3,98.05,97.36,August2021,03,18.0,20210803
298,299,04-08-2021,623,647229,594,634612,3,3814,8803,0.58,1.3,98.05,97.34,August2021,04,14.0,20210804
299,300,05-08-2021,582,647811,638,635250,3,3817,8744,0.58,1.3,98.06,97.34,August2021,05,-41.0,20210805
300,301,06-08-2021,577,648388,645,635895,2,3819,8674,0.58,1.3,98.07,97.33,August2021,06,-5.0,20210806
301,302,08-08-2021,449,649406,623,637175,2,3825,8406,0.58,1.3,98.11,97.36,August2021,08,-128.0,20210808
302,303,09-08-2021,453,649859,614,637789,3,3828,8242,0.58,1.3,98.14,97.38,August2021,09,4.0,20210809
303,304,10-08-2021,494,650353,621,638410,3,3831,8112,0.58,1.3,98.16,97.42,August2021,10,41.0,20210810
304,305,11-08-2021,482,650835,455,638865,2,3833,8137,0.58,1.3,98.16,97.43,August2021,11,-12.0,20210811
305,306,12-08-2021,453,651288,591,639456,3,3836,8137,0.58,1.3,98.18,97.43,August2021,12,-29.0,20210812
306,307,13-08-2021,427,651715,609,640065,2,3838,7812,0.58,1.3,98.21,97.43,August2021,13,-26.0,20210813
307,308,14-08-2021,420,652135,623,640688,3,3841,7606,0.58,1.3,98.24,97.43,August2021,14,-7.0,20210814
308,309,15-08-2021,245,652380,582,641270,1,3842,7268,0.58,1.3,98.29,97.44,August2021,15,-175.0,20210815
309,310,16-08-2021,405,652785,577,641847,3,3845,7093,0.58,1.3,98.32,97.45,August2021,16,160.0,20210816
310,311,17-08-2021,417,653202,569,642416,2,3847,6939,0.58,1.3,98.34,97.49,August2021,17,12.0,20210817
311,312,18-08-2021,424,653626,449,642865,2,3849,6912,0.58,1.3,98.35,97.5,August2021,18,7.0,20210818
312,313,19-08-2021,409,654035,453,643318,3,3852,6865,0.58,1.3,98.36,97.51,August2021,19,-15.0,20210819
313,314,20-08-2021,359,654394,494,643812,2,3854,6728,0.58,1.3,98.38,97.51,August2021,20,-50.0,20210820
314,315,21-08-2021,364,654758,482,644294,2,3856,6608,0.58,1.3,98.4,97.52,August2021,21,5.0,20210821
315,316,22-08-2021,231,654989,453,644747,2,3858,6384,0.58,1.3,98.43,97.54,August2021,22,-133.0,20210822
316,317,23-08-2021,354,655343,427,645174,3,3861,6308,0.58,1.3,98.44,97.6,August2021,23,123.0,20210823
317,318,24-08-2021,389,655732,420,645594,1,3862,6276,0.58,1.3,98.45,97.65,August2021,24,35.0,20210824
318,319,25-08-2021,366,656098,345,645939,2,3864,6295,0.58,1.3,98.45,97.64,August2021,25,-23.0,20210825
319,320,26-08-2021,357,656455,405,646344,1,3865,6246,0.58,1.3,98.45,97.6,August2021,26,-9.0,20210826
320,321,27-08-2021,339,656794,417,646761,2,3867,6166,0.58,1.3,98.47,97.54,August2021,27,-18.0,20210827
321,322,28-08-2021,325,657119,424,647185,2,3869,6065,0.58,1.3,98.48,97.53,August2021,28,-14.0,20210828
322,323,29-08-2021,257,657376,409,647594,1,3870,5912,0.58,1.3,98.51,97.51,August2021,29,-68.0,20210829
323,324,30-08-2021,340,657716,359,647953,2,3872,5891,0.58,1.3,98.51,97.49,August2021,30,83.0,20210830
324,325,01-09-2021,322,658376,331,648648,3,3876,5852,0.58,1.3,98.52,97.48,September2021,01,-18.0,20210901
325,326,02-09-2021,313,658689,354,649002,2,3878,5809,0.58,1.3,98.52,97.45,September2021,02,-9.0,20210902
326,327,03-09-2021,318,659007,389,649391,2,3880,5736,0.58,1.3,98.54,97.42,September2021,03,5.0,20210903
327,328,04-09-2021,306,659313,366,649757,3,3883,5673,0.58,1.3,98.55,97.4,September2021,04,-12.0,20210904
328,329,05-09-2021,230,659543,357,650114,1,3884,5545,0.58,1.3,98.57,97.4,September2021,05,-76.0,20210905
329,330,06-09-2021,301,659844,339,650453,2,3886,5505,0.58,1.3,98.57,97.41,September2021,06,71.0,20210906
330,331,07-09-2021,298,660142,325,650778,2,3888,5476,0.58,1.3,98.58,97.45,September2021,07,-3.0,20210907
331,332,08-09-2021,329,660471,307,651085,1,3889,5497,0.58,1.3,98.57,97.45,September2021,08,31.0,20210908
332,333,09-09-2021,315,660786,340,651425,2,3891,5470,0.58,1.3,98.58,97.45,September2021,09,-14.0,20210909
333,334,10-09-2021,220,661006,338,651763,1,3892,5351,0.58,1.3,98.6,97.46,September2021,10,-95.0,20210910
334,335,11-09-2021,296,661302,322,652085,1,3893,5324,0.58,1.3,98.6,97.45,September2021,11,76.0,20210911
335,336,12-09-2021,249,661551,313,652398,2,3895,5258,0.58,1.3,98.61,97.48,September2021,12,-47.0,20210912
336,337,13-09-2021,315,661866,318,652716,2,3897,5253,0.58,1.3,98.61,97.51,September2021,13,66.0,20210913
337,338,14-09-2021,336,662202,306,653022,1,3898,5282,0.58,1.3,98.61,97.56,September2021,14,21.0,20210914
338,339,15-09-2021,324,662526,280,653302,1,3899,5325,0.58,1.3,98.6,97.59,September2021,15,-12.0,20210915
339,340,16-09-2021,259,662785,301,653603,1,3900,5282,0.58,1.3,98.61,97.61,September2021,16,-65.0,20210916
340,341,17-09-2021,241,663026,298,653901,2,3902,5223,0.58,1.3,98.62,97.63,September2021,17,-18.0,20210917
341,342,18-09-2021,255,663281,329,654230,1,3903,5148,0.58,1.3,98.63,97.62,September2021,18,14.0,20210918
342,343,19-09-2021,173,663454,315,654545,1,3904,5005,0.58,1.3,98.65,97.65,September2021,19,-82.0,20210919
343,344,20-09-2021,208,663662,220,654765,2,3906,4991,0.58,1.3,98.65,97.69,September2021,20,35.0,20210920
344,345,21-09-2021,244,663906,296,655061,1,3907,4938,0.58,1.3,98.66,97.72,September2021,21,36.0,20210921
345,346,22-09-2021,258,664164,249,655310,1,3908,4946,0.58,1.3,98.66,97.74,September2021,22,14.0,20210922
346,347,24-09-2021,239,664650,336,655961,2,3911,4778,0.58,1.3,98.69,97.75,September2021,24,-19.0,20210924
347,348,25-09-2021,248,664898,324,656285,1,3912,4701,0.58,1.3,98.7,97.75,September2021,25,9.0,20210925
348,349,27-09-2021,216,665284,241,656785,2,3914,4585,0.58,1.3,98.72,97.76,September2021,27,-32.0,20210927
349,350,28-09-2021,220,665504,255,657040,1,3915,4549,0.58,1.3,98.72,97.78,September2021,28,4.0,20210928
350,351,29-09-2021,245,665749,173,657213,1,3916,4620,0.58,1.3,98.71,97.81,September2021,29,25.0,20210929
351,352,30-09-2021,214,665963,208,657421,2,3918,4624,0.58,1.3,98.71,97.82,September2021,30,-31.0,20210930
352,353,01-10-2021,220,666183,244,657665,1,3919,4599,0.58,1.3,98.72,97.83,October2021,01,6.0,20211001
353,354,02-10-2021,201,666384,258,657923,1,3920,4541,0.58,1.3,98.73,97.84,October2021,02,-19.0,20211002
354,355,03-10-2021,162,666546,247,658170,1,3921,4455,0.58,1.3,98.74,97.85,October2021,03,-39.0,20211003
355,356,04-10-2021,207,666753,239,658409,2,3923,4421,0.58,1.3,98.74,97.86,October2021,04,45.0,20211004
356,357,05-10-2021,218,666971,248,658657,1,3924,4390,0.58,1.3,98.75,97.9,October2021,05,11.0,20211005
357,358,06-10-2021,187,667158,170,658827,1,3925,4406,0.58,1.3,98.75,97.92,October2021,06,-31.0,20211006
358,359,07-10-2021,176,667334,216,659043,1,3926,4365,0.58,1.3,98.75,97.93,October2021,07,-11.0,20211007
359,360,08-10-2021,201,667535,220,659263,1,3927,4345,0.58,1.3,98.76,97.94,October2021,08,25.0,20211008
360,361,09-10-2021,190,667725,245,659508,2,3929,4288,0.58,1.3,98.76,97.95,October2021,09,-11.0,20211009
361,362,10-10-2021,162,667887,214,659722,1,3930,4235,0.58,1.3,98.77,97.96,October2021,10,-28.0,20211010
362,363,11-10-2021,183,668070,220,659942,2,3932,4196,0.58,1.3,98.78,97.98,October2021,11,21.0,20211011
363,364,12-10-2021,196,668266,201,660143,1,3933,4190,0.58,1.3,98.78,98.01,October2021,12,13.0,20211012
364,365,13-10-2021,184,668450,162,660305,1,3934,4211,0.58,1.3,98.78,98.04,October2021,13,-12.0,20211013
365,366,14-10-2021,168,668618,207,660512,1,3935,4171,0.58,1.3,98.78,98.04,October2021,14,-16.0,20211014
366,367,15-10-2021,104,668722,218,660730,1,3936,4056,0.58,1.3,98.8,98.05,October2021,15,-64.0,20211015
367,368,16-10-2021,111,668833,187,660917,1,3937,3979,0.58,1.3,98.81,98.07,October2021,16,7.0,20211016
368,369,17-10-2021,122,668955,176,661093,1,3938,3924,0.58,1.3,98.82,98.07,October2021,17,11.0,20211017
369,370,19-10-2021,202,669365,190,661484,1,3941,3940,0.58,1.3,98.82,98.11,October2021,19,80.0,20211019
370,371,20-10-2021,191,669556,162,661646,1,3942,3968,0.58,1.3,98.81,98.13,October2021,20,-11.0,20211020
371,372,21-10-2021,183,669739,183,661829,1,3943,3967,0.58,1.3,98.81,98.12,October2021,21,-8.0,20211021
372,373,22-10-2021,193,669932,196,662025,1,3944,3963,0.58,1.3,98.81,98.13,October2021,22,10.0,20211022
373,374,23-10-2021,207,670139,184,662209,2,3946,3984,0.59,1.3,98.81,98.14,October2021,23,14.0,20211023
374,375,25-10-2021,179,670453,104,662481,2,3949,4023,0.59,1.3,98.81,98.15,October2021,25,-28.0,20211025
375,376,26-10-2021,190,670643,111,662592,1,3950,4101,0.58,1.3,98.79,98.17,October2021,26,11.0,20211026
376,377,27-10-2021,186,670829,122,662714,1,3951,4164,0.58,1.3,98.79,98.17,October2021,27,-4.0,20211027
377,378,28-10-2021,171,671000,208,662922,1,3952,4126,0.58,1.3,98.79,98.17,October2021,28,-15.0,20211028
378,379,13-11-2021,157,673469,156,665755,1,3973,3741,,0.58,,98.85,November2021,13,-14.0,20211113
379,380,14-11-2021,105,673574,106,665861,0,3973,3740,,0.58,,98.85,November2021,14,-52.0,20211114
380,381,15-11-2021,148,673722,151,666012,2,3975,3735,,,,98.85,November2021,15,43.0,20211115
381,382,16-11-2021,167,673889,164,666176,1,3976,3737,,,,98.85,November2021,16,19.0,20211116
382,383,18-11-2021,144,674181,161,666509,1,3978,3694,,,,98.86,November2021,18,-23.0,20211118
383,384,19-11-2021,137,674318,173,666682,1,3979,3657,,,,98.86,November2021,19,-7.0,20211119
384,385,20-11-2021,134,674452,164,666846,1,3980,3626,,,,98.87,November2021,20,-3.0,20211120
385,386,21-11-2021,103,674555,153,666999,1,3981,3575,,,,98.87,November2021,21,-31.0,20211121
386,387,22-11-2021,137,674692,172,667171,2,3983,3538,,,,98.88,November2021,22,34.0,20211122
387,388,23-11-2021,153,674845,157,667328,2,3984,3533,,,,98.88,November2021,23,16.0,20211123
388,389,24-11-2021,156,675001,155,667483,1,3985,3533,,,,98.88,November2021,24,3.0,20211124
389,390,25-11-2021,147,675148,148,667631,1,3986,3531,,,,98.88,November2021,25,-9.0,20211125
390,391,26-11-2021,171,675319,167,667798,1,3987,3534,,,,98.88,November2021,26,24.0,20211126
391,392,27-11-2021,160,675479,148,667946,1,3988,3545,,,,98.88,November2021,27,-11.0,20211127
392,393,28-11-2021,135,675614,144,668090,1,3989,3535,,,,98.88,November2021,28,-25.0,20211128
393,394,29-11-2021,184,675798,137,668227,1,3990,3581,,,,98.87,November2021,29,49.0,20211129
394,395,01-12-2021,193,676187,153,668564,1,3993,3630,,,,98.87,December2021,01,9.0,20211201
395,396,02-12-2021,189,676376,137,668701,2,3995,3680,,,,98.86,December2021,02,-4.0,20211202
396,397,06-12-2021,195,677138,171,669328,1,4000,3810,,0.59,,98.84,December2021,06,6.0,20211206
397,398,07-12-2021,203,677341,160,669488,1,4001,3852,,0.59,,98.84,December2021,07,8.0,20211207
398,399,08-12-2021,205,677546,185,669673,1,4002,3871,,0.59,,98.83,December2021,08,2.0,20211208
399,400,09-12-2021,201,677747,184,669857,1,4003,3887,,0.59,,98.83,December2021,09,-4.0,20211209
400,401,10-12-2021,207,677954,196,670053,1,4004,3897,,0.59,,98.83,December2021,10,6.0,20211210
401,402,11-12-2021,188,678142,193,670246,1,4005,3891,,0.59,,98.83,December2021,11,-19.0,20211211
402,403,12-12-2021,146,678288,189,670435,2,4007,3846,,0.59,,98.84,December2021,12,-42.0,20211212
403,404,13-12-2021,190,678478,198,670633,1,4008,3837,,0.59,,98.84,December2021,13,44.0,20211213
404,405,14-12-2021,210,678688,213,670846,1,4009,3833,,0.59,,98.84,December2021,14,20.0,20211214
405,406,15-12-2021,186,678874,206,671052,1,4010,3812,,0.59,,98.84,December2021,15,-24.0,20211215
406,407,16-12-2021,190,679064,195,671247,2,4012,3805,,0.59,,98.84,December2021,16,4.0,20211216
407,408,17-12-2021,181,679245,203,671450,1,4013,3782,,0.59,,98.84,December2021,17,-9.0,20211217
408,409,18-12-2021,185,679430,205,671655,1,4014,3761,,0.59,,98.85,December2021,18,4.0,20211218
409,410,19-12-2021,134,679564,201,671856,1,4015,3693,,0.59,,98.86,December2021,19,-51.0,20211219
410,411,20-12-2021,156,679720,207,672063,0,4015,3642,,0.59,,98.87,December2021,20,22.0,20211220
411,412,21-12-2021,172,679892,188,672251,1,4016,3625,,0.59,,98.87,December2021,21,16.0,20211221
412,413,22-12-2021,182,680074,196,672447,1,4017,3610,,0.59,,98.87,December2021,22,10.0,20211222
413,414,23-12-2021,177,680251,190,672637,1,4018,3596,,0.59,,98.88,December2021,23,-5.0,20211223
414,415,24-12-2021,162,680413,210,672847,1,4019,3547,,0.59,,98.83,December2021,24,-15.0,20211224
415,416,25-12-2021,140,680553,186,673033,2,4021,3499,,0.59,,98.89,December2021,25,-22.0,20211225
416,417,26-12-2021,109,680662,190,673223,1,4022,3417,,0.59,,98.9,December2021,26,-31.0,20211226
417,418,27-12-2021,182,680844,181,673404,1,4023,3417,,0.59,,98.9,December2021,27,73.0,20211227
418,419,28-12-2021,228,681072,185,673589,1,4024,3459,,0.59,,98.9,December2021,28,46.0,20211228
419,420,29-12-2021,235,681307,204,673793,0,4024,3490,,0.59,,98.89,December2021,29,7.0,20211229
420,421,30-12-2021,280,681587,206,673999,1,4025,3563,,0.59,,98.88,December2021,30,45.0,20211230
421,422,31-12-2021,311,681898,222,674221,2,4027,3650,,0.59,,98.87,December2021,31,31.0,20211231
422,423,01-01-2022,317,682215,232,674453,2,4029,3733,,0.59,,98.86,January2022,01,6.0,20220101
423,424,02-01-2022,274,682489,227,674680,1,4030,3779,,0.59,,98.85,January2022,02,-43.0,20220102
424,425,03-01-2022,482,682971,212,674892,1,4031,4048,,0.59,,98.81,January2022,03,208.0,20220103
425,426,04-01-2022,1052,684023,240,675132,2,4033,4858,,0.58,,98.7,January2022,04,570.0,20220104
426,427,05-01-2022,1520,685543,209,675341,1,4034,6168,,0.58,,98.51,January2022,05,468.0,20220105
